,Dates,Location,Opposition,Outcome,defendingDict,goalsAgainst,goalsFor,opposingPlayers,starsPlayers
37,2019-12-23T00:00:00Z,home,20,L,"{1: 'right', 2: 'left', 3: 'right'}",5,1,"[[8478397, 8470966, 8474673, 8478585, 8474150, 8476346, 8476356, 8473473, 8479314, 8477497, 8474612, 8474628, 8477496, 8474736, 8478396, 8476873, 8478233, 8477935, 8479346, 8478430, 8473564], [8479496]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8475413, 8471392, 8475794, 8476166, 8471228], [8471750]]"
38,2019-12-29T00:00:00Z,home,21,W,"{1: 'right', 2: 'left', 3: 'right', 4: 'left'}",2,3,"[[8473446, 8480069, 8474685, 8477501, 8477507, 8479370, 8477435, 8474013, 8477492, 8477456, 8477930, 8479398, 8475820, 8476442, 8475172, 8476455, 8477444, 8478420, 8474717, 8477973], [8475831]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8471392, 8471228, 8475794, 8475413, 8476166], [8471750]]"
39,2019-12-30T01:00:00Z,away,53,W,"{1: 'right', 2: 'left', 3: 'right'}",2,4,"[[8479345, 8477951, 8479343, 8470755, 8477989, 8474613, 8475171, 8471274, 8471262, 8478432, 8473546, 8474604, 8480950, 8474218, 8478474, 8473548, 8478856, 8475791, 8476994, 8477851], [8477293]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8471392, 8471228, 8475794, 8475413, 8476166], [8471418]]"
40,2020-01-01T19:00:00Z,home,18,W,"{1: 'right', 2: 'left', 3: 'right'}",2,4,"[[8475176, 8469465, 8474068, 8476887, 8474009, 8475218, 8475225, 8475714, 8476428, 8478042, 8476278, 8475766, 8475625, 8479371, 8474600, 8475798, 8475793, 8475168, 8474134, 8475797, 8478508], [8471469]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8471392, 8471228, 8475794, 8475413, 8476166], [8471750]]"
41,2020-01-04T01:30:00Z,home,17,W,"{1: 'right', 2: 'left', 3: 'right'}",1,4,"[[8471716, 8480821, 8477952, 8479425, 8475747, 8471242, 8474873, 8476822, 8471794, 8479379, 8470047, 8477479, 8478036, 8477946, 8477454, 8477474, 8470144, 8470110, 8473415, 8477943, 8476960], [8473541]]","[[8476467, 8480036, 8471284, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8481641, 8478495, 8476166, 8471392, 8471228, 8475794, 8475906, 8470621, 8475413], [8471418]]"
42,2020-01-09T03:00:00Z,away,26,W,"{1: 'left', 2: 'right', 3: 'left'}",1,2,"[[8478911, 8474563, 8477960, 8478020, 8471685, 8475160, 8477018, 8480113, 8473453, 8470606, 8475762, 8480336, 8474166, 8481481, 8478455, 8475726, 8476947, 8470604, 8477073, 8479644], [8471734]]","[[8476467, 8480036, 8471284, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8481641, 8478495, 8476166, 8471392, 8471228, 8475794, 8470621, 8475413, 8477810], [8471418]]"
43,2020-01-10T03:00:00Z,away,24,W,"{1: 'right', 2: 'left', 3: 'right'}",0,3,"[[8475764, 8473560, 8475790, 8478466, 8474641, 8470612, 8475235, 8477240, 8478131, 8476913, 8478491, 8479351, 8476312, 8476854, 8480806, 8479368, 8480031, 8476483, 8475164, 8474584], [8476434]]","[[8476467, 8480036, 8471284, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8481641, 8478495, 8476166, 8471392, 8471228, 8475794, 8470621, 8475413, 8477810], [8471750]]"
44,2020-01-12T03:30:00Z,away,28,L,"{1: 'right', 2: 'left', 3: 'right'}",2,1,"[[8475455, 8475169, 8476474, 8466139, 8466138, 8475834, 8476624, 8478414, 8479983, 8480965, 8471709, 8481516, 8476881, 8480160, 8478099, 8474578, 8477922, 8470613, 8474053, 8480780, 8475841], [8477180]]","[[8476467, 8480036, 8471284, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8481641, 8478495, 8476166, 8471392, 8471228, 8475794, 8475906, 8470621, 8475413], [8471418]]"
45,2020-01-15T02:00:00Z,away,21,W,"{1: 'left', 2: 'right', 3: 'left', 4: 'right'}",2,3,"[[8473446, 8480069, 8474685, 8477501, 8477507, 8479370, 8477435, 8474013, 8477492, 8477456, 8477930, 8479398, 8477973, 8476442, 8475172, 8476455, 8477444, 8478420, 8474717, 8475820], [8475831]]","[[8476467, 8475906, 8480036, 8471284, 8471699, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8481641, 8478495, 8475413, 8471392, 8471228, 8475794, 8470621, 8476889, 8476166], [8471750]]"
46,2020-01-17T01:30:00Z,home,7,L,"{1: 'right', 2: 'left', 3: 'right'}",4,1,"[[8474567, 8478403, 8480035, 8476918, 8476931, 8473449, 8475728, 8477933, 8480935, 8480839, 8477508, 8476878, 8477839, 8477499, 8477986, 8473564, 8479335, 8475149, 8476293, 8476525, 8478542], [8476999]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8481641, 8478495, 8475413, 8471392, 8471228, 8475794, 8476889, 8477406, 8476166], [8471750]]"
